date	focal	actor	receiver	beh	dur
2000-03-02	y	j	y	prox	23
2000-03-02	e	e	y	prox	55
2000-03-03	o	j	o	prox	50
2000-03-04	o	e	o	gro	21
2000-03-08	e	e	y	gro	66
2000-03-15	j	j	y	supp	NA
2000-03-15	y	j	y	gro	39
2000-03-15	y	j	y	supp	NA
2000-03-15	j	j	y	prox	84
2000-03-15	y	j	y	gro	22
2000-03-15	y	e	y	gro	37
2000-03-17	j	e	j	appr	NA
2000-03-17	e	e	j	prox	85
2000-03-18	j	j	y	gro	82
2000-03-18	e	e	j	prox	178
2000-03-19	e	e	j	prox	31
2000-03-19	e	e	j	gro	53
2000-03-19	e	e	y	appr	NA
2000-03-19	y	j	y	appr	NA
2000-03-19	e	e	y	gro	15
2000-03-22	y	y	e	appr	NA
2000-03-22	e	e	y	gro	13
2000-03-24	y	j	y	supp	NA
2000-03-26	j	j	y	prox	19
2000-03-30	e	j	e	supp	NA
2000-04-01	e	e	j	prox	52
2000-04-01	e	e	y	appr	NA
2000-04-02	y	e	y	prox	196
2000-04-02	j	j	e	appr	NA
2000-04-04	y	j	y	gro	6
2000-04-06	e	e	y	prox	17
2000-04-07	e	e	j	prox	8
2000-04-07	j	e	j	prox	46
2000-04-08	j	j	e	prox	97
2000-04-10	e	e	y	appr	NA
2000-04-11	y	e	y	appr	NA
2000-04-13	y	j	y	prox	37
2000-04-14	y	j	y	gro	14
2000-04-14	e	e	j	gro	10
2000-04-16	y	j	y	gro	31
2000-04-16	e	e	y	gro	9
2000-04-18	j	j	y	gro	253
2000-04-19	e	e	y	gro	59
2000-04-19	e	j	e	appr	NA
2000-04-20	e	y	e	prox	188
2000-04-21	y	e	y	prox	37
2000-04-23	e	e	y	prox	13
2000-04-28	e	j	e	prox	39
2000-04-28	y	j	y	gro	100
2000-04-29	y	e	y	gro	43
2000-04-30	e	e	y	supp	NA
2000-05-02	y	e	y	prox	108
2000-05-02	e	e	y	supp	NA
2000-05-05	j	e	j	prox	6
2000-05-05	e	e	j	prox	6
2000-05-08	j	j	y	gro	72
2000-05-09	e	e	j	prox	25
2000-05-09	y	e	y	prox	19
2000-05-09	e	e	y	appr	NA
2000-05-10	y	j	y	appr	NA
2000-05-10	y	j	y	prox	22
2000-05-10	e	e	y	gro	49
2000-05-13	y	j	y	prox	12
2000-05-14	y	y	e	prox	9
2000-05-14	j	j	y	gro	111
2000-05-15	y	y	e	gro	1
2000-05-15	e	e	y	gro	39
2000-05-15	y	y	j	prox	370
2000-05-17	e	e	y	gro	24
2000-05-17	e	e	y	supp	NA
2000-05-19	y	j	y	appr	NA
2000-05-19	e	e	y	prox	60
2000-05-20	y	e	y	prox	72
2000-05-20	e	e	j	gro	13
2000-05-20	y	y	j	prox	104
2000-05-22	y	j	y	appr	NA
2000-05-25	y	j	y	prox	89
2000-05-25	e	y	e	prox	106
2000-05-25	e	y	e	appr	NA
2000-05-28	e	e	j	gro	207
2000-05-28	e	j	e	gro	36
2000-05-30	j	j	y	appr	NA
2000-05-30	e	e	y	gro	19
2000-05-31	y	j	y	prox	118
2000-06-02	y	e	y	prox	133
2000-06-02	e	e	j	prox	8
2000-06-04	e	e	y	gro	56
2000-06-06	j	e	j	prox	84
2000-06-06	y	j	y	prox	65
2000-06-06	y	e	y	appr	NA
2000-06-10	y	e	y	prox	30
2000-06-10	y	e	y	prox	8
2000-06-10	j	j	y	gro	13
2000-06-11	e	e	j	gro	75
2000-06-13	j	y	j	gro	54
2000-06-14	e	e	j	gro	10
2000-06-22	e	y	e	supp	NA
2000-06-23	i	i	e	prox	32
2000-06-23	j	j	i	prox	796
2000-06-23	j	y	j	prox	83
2000-06-30	i	i	j	gro	6
2000-06-30	y	e	y	gro	44
2000-06-30	y	i	y	gro	16
2000-06-30	j	j	i	prox	546
2000-07-01	i	j	i	appr	NA
2000-07-01	j	i	j	prox	153
2000-07-08	i	e	i	gro	14
2000-07-11	i	i	j	supp	NA
2000-07-11	y	j	y	gro	5
2000-07-15	e	e	j	gro	26
2000-07-15	y	i	y	gro	115
2000-07-15	y	j	y	gro	35
2000-07-15	e	e	y	appr	NA
2000-07-15	i	i	y	prox	63
2000-07-18	y	i	y	gro	32
2000-07-18	i	i	y	appr	NA
2000-07-18	i	i	j	supp	NA
2000-07-21	i	i	j	gro	392
2000-07-21	j	y	j	prox	33
2000-07-21	i	i	j	supp	NA
2000-07-21	e	e	j	appr	NA
2000-07-21	i	e	i	gro	89
2000-07-22	j	i	j	supp	NA
2000-07-22	j	e	j	appr	NA
2000-07-26	j	i	j	prox	301
2000-07-26	i	i	j	supp	NA
2000-07-27	j	i	j	gro	20
2000-07-27	y	i	y	prox	49
2000-07-29	y	e	y	gro	136
2000-07-29	y	y	e	appr	NA
2000-07-30	i	i	j	prox	156
2000-07-30	i	i	j	prox	36
2000-07-30	j	j	y	supp	NA
2000-07-31	y	i	y	gro	15
2000-07-31	y	j	y	prox	31
2000-08-01	j	e	j	prox	69
2000-08-01	e	e	j	prox	53
2000-08-02	y	y	e	prox	28
2000-08-02	y	j	y	prox	127
2000-08-03	e	e	i	prox	75
2000-08-05	e	e	y	supp	NA
2000-08-06	y	i	y	supp	NA
2000-08-06	y	i	y	prox	42
2000-08-06	j	j	o	appr	NA
2000-08-06	y	i	y	supp	NA
2000-08-06	j	e	j	gro	91
2000-08-09	j	i	j	supp	NA
2000-08-09	j	e	j	prox	108
2000-08-10	o	j	o	prox	24
2000-08-11	e	e	i	prox	43
2000-08-12	j	o	j	supp	NA
2000-08-14	o	i	o	prox	51
2000-08-14	e	e	j	supp	NA
2000-08-14	e	e	o	prox	76
2000-08-15	o	j	o	appr	NA
2000-08-16	o	j	o	prox	44
2000-08-16	o	i	o	gro	14
2000-08-17	j	i	j	supp	NA
2000-08-20	j	i	j	supp	NA
2000-08-20	o	o	e	prox	266
2000-08-21	i	j	i	prox	178
2000-08-21	o	j	o	prox	82
2000-08-24	j	j	i	prox	241
2000-08-26	o	j	o	gro	12
2000-08-26	j	i	j	prox	166
2000-08-28	e	e	j	gro	19
2000-08-28	i	i	o	appr	NA
2000-08-30	i	i	j	gro	690
2000-08-30	e	e	o	appr	NA
2000-08-30	j	o	j	gro	106
2000-09-01	e	e	i	appr	NA
2000-09-01	e	e	i	gro	79
2000-09-02	i	i	j	appr	NA
2000-09-04	i	i	j	prox	288
2000-09-06	j	j	o	prox	1
2000-09-06	o	e	o	prox	103
2000-09-06	j	j	o	appr	NA
2000-09-06	o	i	o	supp	NA
2000-09-06	j	e	j	prox	3
2000-09-09	o	i	o	gro	113
2000-09-09	e	e	o	prox	36
2000-09-11	j	i	j	gro	692
2000-09-11	o	i	o	appr	NA
2000-09-12	o	e	o	prox	34
2000-09-12	e	e	o	prox	2
2000-09-12	e	e	j	prox	5
2000-09-13	i	e	i	gro	55
2000-09-14	j	e	j	appr	NA
2000-09-16	j	i	j	supp	NA
2000-09-17	j	j	o	appr	NA
2000-09-17	i	e	i	appr	NA
2000-09-20	o	j	o	gro	31
2000-09-20	i	i	j	appr	NA
2000-09-20	o	j	o	gro	1
2000-09-21	o	e	o	prox	136
2000-09-21	o	j	o	supp	NA
2000-09-21	o	e	o	gro	108
2000-09-25	o	i	o	prox	121
2000-09-27	o	j	o	prox	87
2000-09-29	e	e	o	prox	27
2000-09-29	o	e	o	gro	75
2000-09-29	e	e	j	prox	19
2000-09-29	e	e	o	prox	21
2000-10-01	e	e	o	gro	94
2000-10-01	e	e	o	supp	NA
2000-10-02	j	o	j	prox	145
2000-10-04	j	i	j	prox	446
2000-10-06	e	j	e	prox	5
2000-10-07	j	i	j	gro	379
2000-10-09	j	j	i	supp	NA
2000-10-13	i	i	j	gro	110
2000-10-14	j	i	j	prox	252
2000-10-14	i	i	j	prox	55
2000-10-14	j	e	j	prox	6
2000-10-15	i	i	j	gro	73
2000-10-17	o	e	o	gro	29
2000-10-19	e	e	o	supp	NA
2000-10-19	e	e	i	gro	27
2000-10-19	o	e	o	gro	48
2000-10-21	e	o	e	prox	68
2000-10-21	e	e	j	prox	119
2000-10-23	e	j	e	supp	NA
2000-10-24	i	i	o	appr	NA
2000-10-24	i	i	j	prox	297
2000-10-25	j	i	j	prox	46
2000-10-25	i	i	o	gro	5
2000-10-26	i	e	i	gro	149
