focal	date	OT
y	2000-04-11	60
j	2000-04-11	54
e	2000-04-13	60
y	2000-04-13	60
j	2000-04-13	60
j	2000-04-14	60
y	2000-04-14	54
e	2000-04-14	50
j	2000-04-16	56
e	2000-04-16	60
y	2000-04-16	60
y	2000-04-18	60
e	2000-04-18	60
j	2000-04-18	60
j	2000-04-19	48
e	2000-04-19	60
y	2000-04-19	60
e	2000-04-20	60
j	2000-04-20	60
y	2000-04-20	43
y	2000-04-21	52
e	2000-04-21	60
j	2000-04-21	60
j	2000-04-23	60
y	2000-04-23	60
e	2000-04-23	49
j	2000-04-25	56
y	2000-04-25	60
e	2000-04-25	60
e	2000-04-28	60
y	2000-04-28	60
j	2000-04-28	60
y	2000-04-29	60
e	2000-04-29	60
j	2000-04-29	60
y	2000-04-30	53
e	2000-04-30	50
j	2000-04-30	52
e	2000-05-02	45
y	2000-05-02	58
j	2000-05-02	58
j	2000-05-04	47
e	2000-05-04	60
y	2000-05-04	53
y	2000-05-05	44
j	2000-05-05	57
e	2000-05-05	59
y	2000-05-07	45
e	2000-05-07	60
j	2000-05-07	32
y	2000-05-08	60
j	2000-05-08	60
e	2000-05-08	60
j	2000-05-09	60
e	2000-05-09	60
y	2000-05-09	60
y	2000-05-10	60
e	2000-05-10	60
j	2000-05-10	52
y	2000-05-13	52
j	2000-05-13	49
e	2000-05-13	54
j	2000-05-14	60
y	2000-05-14	60
e	2000-05-14	60
e	2000-05-15	60
j	2000-05-15	57
y	2000-05-15	60
y	2000-05-17	60
e	2000-05-17	44
j	2000-05-17	60
j	2000-05-19	59
e	2000-05-19	50
y	2000-05-19	60
j	2000-05-20	60
y	2000-05-20	58
e	2000-05-20	47
e	2000-05-21	59
j	2000-05-21	56
y	2000-05-21	58
y	2000-05-22	57
j	2000-05-22	43
e	2000-05-22	55
y	2000-05-25	60
j	2000-05-25	60
e	2000-05-25	50
e	2000-05-28	59
y	2000-05-28	60
j	2000-05-28	60
e	2000-05-30	60
j	2000-05-30	60
y	2000-05-30	52
y	2000-05-31	55
e	2000-05-31	45
j	2000-05-31	59
j	2000-06-01	60
y	2000-06-01	52
e	2000-06-01	56
y	2000-06-02	50
e	2000-06-02	49
j	2000-06-02	60
j	2000-06-04	60
e	2000-06-04	45
y	2000-06-04	52
e	2000-06-05	60
j	2000-06-05	59
y	2000-06-05	54
y	2000-06-06	57
j	2000-06-06	60
e	2000-06-06	53
e	2000-06-07	60
y	2000-06-07	57
j	2000-06-07	37
y	2000-06-10	48
e	2000-06-10	60
j	2000-06-10	45
j	2000-06-11	34
y	2000-06-11	60
e	2000-06-11	45
j	2000-06-13	60
e	2000-06-13	60
y	2000-06-13	60
j	2000-06-14	57
e	2000-06-14	49
y	2000-06-14	60
j	2000-06-21	60
i	2000-06-21	60
e	2000-06-21	60
i	2000-06-22	60
y	2000-06-22	60
e	2000-06-22	60
y	2000-06-23	60
j	2000-06-23	52
i	2000-06-23	60
i	2000-06-30	60
j	2000-06-30	60
y	2000-06-30	60
e	2000-07-01	59
i	2000-07-01	60
j	2000-07-01	60
j	2000-07-05	60
y	2000-07-05	60
i	2000-07-05	60
j	2000-07-08	33
e	2000-07-08	60
i	2000-07-08	60
i	2000-07-11	50
y	2000-07-11	52
e	2000-07-11	42
j	2000-07-12	60
i	2000-07-12	57
y	2000-07-12	55
j	2000-07-14	54
i	2000-07-14	52
e	2000-07-14	60
e	2000-07-15	60
i	2000-07-15	60
y	2000-07-15	60
i	2000-07-17	52
j	2000-07-17	52
e	2000-07-17	60
i	2000-07-18	55
y	2000-07-18	44
j	2000-07-18	50
j	2000-07-20	49
y	2000-07-20	60
i	2000-07-20	60
j	2000-07-21	60
e	2000-07-21	60
i	2000-07-21	52
i	2000-07-22	60
j	2000-07-22	55
y	2000-07-22	53
i	2000-07-26	51
e	2000-07-26	60
j	2000-07-26	59
y	2000-07-27	60
e	2000-07-27	60
j	2000-07-27	60
y	2000-07-29	44
i	2000-07-29	60
e	2000-07-29	59
j	2000-07-30	60
y	2000-07-30	41
i	2000-07-30	60
y	2000-07-31	60
j	2000-07-31	51
i	2000-07-31	59
i	2000-08-01	60
e	2000-08-01	60
j	2000-08-01	60
j	2000-08-02	53
i	2000-08-02	59
y	2000-08-02	46
i	2000-08-03	60
j	2000-08-03	60
e	2000-08-03	60
i	2000-08-05	37
j	2000-08-05	59
e	2000-08-05	60
y	2000-08-06	60
e	2000-08-06	51
j	2000-08-06	60
i	2000-08-09	60
e	2000-08-09	51
j	2000-08-09	60
y	2000-08-10	49
e	2000-08-10	51
o	2000-08-10	60
e	2000-08-11	48
y	2000-08-11	51
j	2000-08-11	58
o	2000-08-12	60
y	2000-08-12	47
j	2000-08-12	60
i	2000-08-14	60
e	2000-08-14	33
o	2000-08-14	60
o	2000-08-15	55
j	2000-08-15	48
e	2000-08-15	60
o	2000-08-16	43
j	2000-08-16	60
y	2000-08-16	60
j	2000-08-17	44
o	2000-08-17	53
y	2000-08-17	53
e	2000-08-20	56
o	2000-08-20	51
j	2000-08-20	60
i	2000-08-21	60
o	2000-08-21	60
e	2000-08-21	50
i	2000-08-24	54
j	2000-08-24	33
e	2000-08-24	57
j	2000-08-26	48
o	2000-08-26	44
i	2000-08-26	60
e	2000-08-28	60
j	2000-08-28	60
i	2000-08-28	55
e	2000-08-30	60
j	2000-08-30	59
i	2000-08-30	60
i	2000-09-01	60
e	2000-09-01	60
o	2000-09-01	60
j	2000-09-02	60
i	2000-09-02	60
e	2000-09-02	59
o	2000-09-04	60
i	2000-09-04	54
j	2000-09-04	60
i	2000-09-05	55
j	2000-09-05	45
e	2000-09-05	60
i	2000-09-06	60
j	2000-09-06	57
o	2000-09-06	56
j	2000-09-08	60
e	2000-09-08	57
i	2000-09-08	60
e	2000-09-09	41
o	2000-09-09	60
j	2000-09-09	60
o	2000-09-11	60
i	2000-09-11	51
j	2000-09-11	59
o	2000-09-12	40
j	2000-09-12	60
e	2000-09-12	51
i	2000-09-13	50
e	2000-09-13	60
j	2000-09-13	60
o	2000-09-14	60
j	2000-09-14	60
i	2000-09-14	60
j	2000-09-15	60
o	2000-09-15	60
i	2000-09-15	60
j	2000-09-16	55
i	2000-09-16	45
e	2000-09-16	60
i	2000-09-17	58
o	2000-09-17	57
j	2000-09-17	60
i	2000-09-18	43
j	2000-09-18	60
e	2000-09-18	58
o	2000-09-20	60
i	2000-09-20	60
e	2000-09-20	52
i	2000-09-21	40
o	2000-09-21	59
j	2000-09-21	53
j	2000-09-24	60
i	2000-09-24	55
o	2000-09-24	60
e	2000-09-25	60
i	2000-09-25	60
o	2000-09-25	29
j	2000-09-27	47
o	2000-09-27	57
i	2000-09-27	60
o	2000-09-29	60
e	2000-09-29	60
i	2000-09-29	60
i	2000-09-30	58
e	2000-09-30	60
o	2000-09-30	45
i	2000-10-01	59
j	2000-10-01	60
e	2000-10-01	38
e	2000-10-02	52
j	2000-10-02	60
o	2000-10-02	60
j	2000-10-03	60
o	2000-10-03	60
e	2000-10-03	51
j	2000-10-04	47
i	2000-10-04	56
e	2000-10-04	59
e	2000-10-06	60
i	2000-10-06	59
o	2000-10-06	60
j	2000-10-07	60
o	2000-10-07	60
i	2000-10-07	50
e	2000-10-09	45
o	2000-10-09	45
j	2000-10-09	59
e	2000-10-11	60
o	2000-10-11	60
i	2000-10-11	60
i	2000-10-12	60
j	2000-10-12	60
o	2000-10-12	54
e	2000-10-13	60
o	2000-10-13	60
i	2000-10-13	50
i	2000-10-14	44
e	2000-10-14	60
j	2000-10-14	60
e	2000-10-15	57
i	2000-10-15	49
o	2000-10-15	53
o	2000-10-17	60
e	2000-10-17	60
i	2000-10-17	46
j	2000-10-19	60
e	2000-10-19	57
o	2000-10-19	60
o	2000-10-21	51
e	2000-10-21	40
j	2000-10-21	60
j	2000-10-23	53
o	2000-10-23	60
e	2000-10-23	60
j	2000-10-24	60
i	2000-10-24	60
e	2000-10-24	60
j	2000-10-25	60
e	2000-10-25	60
i	2000-10-25	60
i	2000-10-26	49
e	2000-10-26	52
o	2000-10-26	60
