Day	Month	Year	Focal	Time	ChimpID
10	jan	2010	I	13:45	F
13	jan	2010	G	13:15	A
13	jan	2010	G	13:15	I
14	jan	2010	F	09:00	I
14	jan	2010	F	09:00	H
14	jan	2010	F	09:00	J
14	jan	2010	G	11:45	E
14	jan	2010	G	11:45	F
15	jan	2010	I	10:00	F
15	jan	2010	I	10:00	L
15	jan	2010	I	10:00	C
20	jan	2010	C	08:30	A
20	jan	2010	C	08:30	H
20	jan	2010	C	08:30	F
20	jan	2010	K	09:00	I
20	jan	2010	K	09:00	A
21	jan	2010	A	13:45	F
21	jan	2010	A	13:45	H
21	jan	2010	A	13:45	L
22	jan	2010	E	12:45	F
22	jan	2010	E	12:45	J
22	jan	2010	E	12:45	B
23	jan	2010	H	08:15	E
23	jan	2010	H	08:15	D
23	jan	2010	H	08:15	A
24	jan	2010	F	09:30	G
24	jan	2010	F	09:30	A
24	jan	2010	F	09:30	E
24	jan	2010	A	09:45	G
24	jan	2010	A	09:45	E
24	jan	2010	A	09:45	K
24	jan	2010	B	10:30	J
24	jan	2010	B	10:30	C
24	jan	2010	B	10:30	F
24	jan	2010	G	11:30	H
24	jan	2010	G	11:30	A
24	jan	2010	G	11:30	L
24	jan	2010	D	11:45	G
24	jan	2010	D	11:45	L
25	jan	2010	G	11:00	E
25	jan	2010	G	11:00	L
25	jan	2010	G	11:00	A
26	jan	2010	F	13:15	I
26	jan	2010	F	13:15	J
26	jan	2010	F	13:15	L
28	jan	2010	C	08:00	H
28	jan	2010	C	08:00	F
28	jan	2010	C	08:00	A
28	jan	2010	A	09:30	H
28	jan	2010	A	09:30	B
28	jan	2010	A	09:30	J
28	jan	2010	L	10:45	C
28	jan	2010	L	10:45	F
28	jan	2010	L	10:45	A
28	jan	2010	G	12:00	I
28	jan	2010	G	12:00	L
2	jun	2010	D	10:45	A
2	jun	2010	D	10:45	J
3	jun	2010	C	11:30	H
3	jun	2010	C	11:30	K
3	jun	2010	L	12:15	F
3	jun	2010	L	12:15	A
3	jun	2010	L	12:15	K
3	jun	2010	C	13:15	I
3	jun	2010	C	13:15	L
3	jun	2010	C	13:15	E
4	jun	2010	E	11:30	F
4	jun	2010	E	11:30	D
4	jun	2010	E	11:30	A
4	jun	2010	I	12:45	J
4	jun	2010	I	12:45	F
4	jun	2010	I	12:45	E
8	jun	2010	E	10:30	K
8	jun	2010	E	10:30	C
8	jun	2010	E	10:30	J
8	jun	2010	G	11:30	K
8	jun	2010	G	11:30	C
8	jun	2010	G	13:30	C
8	jun	2010	G	13:30	E
8	jun	2010	G	13:30	I
10	jun	2010	G	10:15	I
10	jun	2010	G	10:15	A
10	jun	2010	D	12:00	E
10	jun	2010	D	12:00	I
10	jun	2010	D	12:00	G
11	jun	2010	F	08:30	A
11	jun	2010	F	08:30	L
11	jun	2010	F	08:30	B
11	jun	2010	G	09:45	H
11	jun	2010	G	09:45	E
11	jun	2010	G	09:45	C
12	jun	2010	C	09:45	H
12	jun	2010	C	09:45	G
12	jun	2010	C	09:45	E
14	jun	2010	H	12:30	G
14	jun	2010	H	12:30	F
14	jun	2010	K	13:00	H
14	jun	2010	K	13:00	I
14	jun	2010	K	13:00	L
15	jun	2010	L	11:15	I
15	jun	2010	L	11:15	D
17	jun	2010	C	09:45	A
17	jun	2010	C	09:45	J
17	jun	2010	F	12:45	I
17	jun	2010	F	12:45	G
17	jun	2010	F	12:45	E
18	jun	2010	L	11:30	H
18	jun	2010	L	11:30	E
18	jun	2010	L	11:30	K
18	jun	2010	G	12:00	F
18	jun	2010	G	12:00	E
18	jun	2010	G	12:00	A
19	jun	2010	D	08:15	K
19	jun	2010	D	08:15	F
19	jun	2010	D	08:15	H
19	jun	2010	I	08:45	F
19	jun	2010	I	08:45	H
19	jun	2010	I	08:45	E
21	jun	2010	C	08:45	L
21	jun	2010	C	08:45	D
21	jun	2010	C	08:45	E
21	jun	2010	I	13:30	G
21	jun	2010	I	13:30	H
22	jun	2010	K	09:15	E
23	jun	2010	G	12:00	I
23	jun	2010	G	12:00	A
24	jun	2010	H	08:30	A
24	jun	2010	H	08:30	E
24	jun	2010	H	08:30	C
25	jun	2010	I	08:30	D
25	jun	2010	I	08:30	C
26	jun	2010	K	11:15	B
26	jun	2010	K	11:15	G
1	mar	2010	D	09:15	L
1	mar	2010	D	09:15	I
1	mar	2010	D	09:15	A
1	mar	2010	E	11:30	L
1	mar	2010	E	11:30	H
1	mar	2010	E	11:30	B
1	mar	2010	J	11:45	H
1	mar	2010	J	11:45	I
3	mar	2010	C	10:45	J
3	mar	2010	C	10:45	I
3	mar	2010	G	12:00	B
3	mar	2010	G	12:00	D
3	mar	2010	G	12:00	A
5	mar	2010	I	12:15	D
5	mar	2010	I	12:15	G
5	mar	2010	I	12:15	L
5	mar	2010	G	13:00	K
5	mar	2010	G	13:00	I
5	mar	2010	G	13:00	L
6	mar	2010	K	10:45	B
6	mar	2010	K	10:45	H
6	mar	2010	K	10:45	J
7	mar	2010	L	11:15	G
7	mar	2010	L	11:15	A
7	mar	2010	L	11:15	H
7	mar	2010	J	13:00	D
7	mar	2010	J	13:00	F
7	mar	2010	J	13:00	A
8	mar	2010	F	08:30	G
8	mar	2010	F	08:30	I
8	mar	2010	F	08:30	K
9	mar	2010	L	09:15	K
9	mar	2010	L	09:15	C
9	mar	2010	L	09:15	B
9	mar	2010	A	10:30	K
9	mar	2010	A	10:30	E
11	mar	2010	B	12:15	F
11	mar	2010	B	12:15	J
11	mar	2010	B	12:15	G
11	mar	2010	H	13:30	K
11	mar	2010	H	13:30	A
12	mar	2010	D	09:00	K
12	mar	2010	D	09:00	B
12	mar	2010	J	12:15	G
12	mar	2010	J	12:15	F
12	mar	2010	J	12:15	D
14	mar	2010	D	08:00	K
14	mar	2010	D	08:00	C
14	mar	2010	D	08:00	E
15	mar	2010	D	10:30	K
15	mar	2010	D	10:30	I
15	mar	2010	D	10:30	L
15	mar	2010	C	11:30	A
15	mar	2010	C	11:30	J
15	mar	2010	C	11:30	E
18	mar	2010	I	08:30	B
18	mar	2010	I	08:30	K
18	mar	2010	I	08:30	G
18	mar	2010	D	10:45	H
23	mar	2010	A	08:30	G
23	mar	2010	A	08:30	H
23	mar	2010	A	08:30	F
24	mar	2010	L	13:30	J
24	mar	2010	L	13:30	C
24	mar	2010	L	13:30	K
26	mar	2010	F	11:00	I
26	mar	2010	F	11:00	L
26	mar	2010	F	11:00	K
27	mar	2010	G	11:30	D
27	mar	2010	G	11:30	A
27	mar	2010	F	13:30	C
27	mar	2010	F	13:30	G
28	mar	2010	G	13:00	F
28	mar	2010	G	13:00	I
28	mar	2010	G	13:00	A
2	may	2010	H	08:15	J
2	may	2010	H	08:15	G
5	may	2010	L	12:15	G
5	may	2010	L	12:15	H
6	may	2010	D	12:30	J
6	may	2010	D	12:30	A
6	may	2010	D	12:30	C
6	may	2010	G	13:15	K
6	may	2010	G	13:15	L
6	may	2010	G	13:15	I
6	may	2010	A	13:45	G
6	may	2010	A	13:45	E
6	may	2010	A	13:45	H
8	may	2010	F	09:15	I
8	may	2010	F	09:15	C
9	may	2010	L	11:15	D
9	may	2010	L	11:15	F
9	may	2010	L	11:15	G
10	may	2010	E	08:30	D
10	may	2010	E	08:30	G
10	may	2010	F	09:15	L
10	may	2010	F	09:15	A
10	may	2010	F	09:15	J
10	may	2010	A	11:15	G
10	may	2010	A	11:15	E
11	may	2010	A	11:15	C
11	may	2010	A	11:15	L
11	may	2010	A	11:15	E
11	may	2010	L	12:30	H
11	may	2010	L	12:30	E
12	may	2010	E	08:00	J
12	may	2010	E	08:00	G
12	may	2010	E	08:00	B
12	may	2010	B	13:30	F
12	may	2010	B	13:30	L
13	may	2010	I	11:00	E
13	may	2010	I	11:00	H
13	may	2010	I	11:00	B
13	may	2010	J	13:15	I
13	may	2010	J	13:15	D
14	may	2010	L	13:30	K
14	may	2010	L	13:30	F
14	may	2010	L	13:30	J
16	may	2010	D	08:30	H
16	may	2010	D	08:30	B
16	may	2010	D	08:30	K
18	may	2010	L	11:00	F
18	may	2010	L	11:00	I
19	may	2010	G	09:00	E
19	may	2010	G	09:00	L
19	may	2010	G	09:00	C
19	may	2010	A	09:30	G
19	may	2010	A	09:30	L
19	may	2010	A	09:30	K
19	may	2010	F	10:00	L
19	may	2010	F	10:00	G
19	may	2010	D	11:00	G
19	may	2010	D	11:00	H
19	may	2010	D	11:00	E
23	may	2010	F	10:30	J
23	may	2010	F	10:30	A
28	may	2010	E	08:45	F
28	may	2010	E	08:45	D
28	may	2010	E	08:45	I
